location,latitude,longitude,elevation
"hiawasee, GA, US",34.022882000000003,-84.125866000000002,313.00000
"lindale, TX, US",32.515697099999997,-95.409399800000003,173.00000
"doniphan, NE, US",40.771957000000000,-98.369506999999999,593.00000
"ramsey, MN, US",45.261099999999999,-93.450000000000003,267.00000
"south bound brook, NJ, US",40.553436499999997,-74.531543999999997,18.00000
"reinbeck, IA, US",42.323596999999999,-92.599361500000001,294.00000
"paskenta, CA, US",39.884286400000001,-122.546966299999994,237.00000
"whippany, NJ, US",40.824544199999998,-74.417097200000001,76.00000
"honesdale, PA, US",41.576755200000001,-75.258787100000006,358.00000
"watertown, SD, US",44.899211000000001,-97.115289000000004,528.00000
"baker, LA, US",41.555586599999998,-88.811189100000007,204.00000
"galloway, NJ, US",44.814602200000003,-91.501526499999997,236.00000
"elcho, WI, US",45.435841000000003,-89.183475000000001,497.00000
"valley center, KS, US",33.218370100000001,-117.034196699999995,398.00000
"fort yates, ND, US",46.086941000000003,-100.630127000000002,495.00000
"troutdale, OR, US",45.531792799999998,-122.391154999999998,57.00000
"bethel park, PA, US",40.327569699999998,-80.039497699999998,363.00000
"electra, TX, US",34.029258800000001,-98.918957500000005,377.00000
"rotan, TX, US",32.852049600000001,-100.465664799999999,595.00000
"shorewood, IL, US",43.088174400000000,-87.888315300000002,206.00000
"sterling, KS, US",38.210011199999997,-98.207005899999999,505.00000
"mt. lassen, CA, US",40.488130800000000,-121.504919999999998,3022.00000
"ahwatukee-foothills, AZ, US",33.319418599999999,-112.031296200000000,400.00000
"thompsonville, CT, US",41.997040699999999,-72.598977700000006,39.00000
"mesa/phoenix, AZ, US",33.664386399999998,-112.038562499999998,467.00000
"caldwell, OH, US",39.747850800000002,-81.516512700000007,255.00000
"north branch, MN, US",45.511351500000004,-92.980217600000003,272.00000
"corinth, KY, US",38.496737600000003,-84.564109900000005,289.00000
"parker, AZ, US",39.518451399999996,-104.761263799999995,1791.00000
"utica, KY, US",40.234231299999998,-82.451269900000000,292.00000
"glenvil, NE, US",40.504179999999998,-98.253107999999997,564.00000
"ethel, LA, US",34.229546100000000,-95.544133599999995,187.00000
"romulus, NY, US",42.752291999999997,-76.833567200000005,217.00000
"catheys valley, CA, US",37.432439100000003,-120.097955099999993,431.00000
"brady, MT, US",31.131782500000000,-99.334939000000006,514.00000
"fort drum, NY, US",44.066563500000001,-75.748962304560607,175.00000
