shape,children,adults,senior_citizens,total_sightings
changed,0.625,0.625,0.5333333333333333,-0.375
changing,-0.125,-0.125,0.20000000000000004,0.125
chevron,-0.125,-0.125,-0.1333333333333333,0.125
cigar,-0.375,-0.375,-0.4666666666666666,0.375
circle,0.125,0.125,0.5333333333333333,0.625
cone,-0.375,-0.375,-0.4666666666666666,-0.125
crescent,0.125,0.125,0.20000000000000004,-0.375
cross,0.125,0.125,-0.1333333333333333,-0.125
cylinder,-0.125,-0.125,-0.4666666666666666,0.125
delta,0.125,0.125,0.20000000000000004,-0.375
