airport_ident,airport_name,municipality,state,airport_type,airport_distance,airport_lng,airport_lat
01MD,Annapolis Seaplane Base,annapolis,MD,seaplane_base,0.0421402965605,-76.456001,38.999199
01MD,Annapolis Seaplane Base,annapolis,MO,seaplane_base,0.0421402965605,-76.456001,38.999199
01ME,Saint Peter's Seaplane Base,portage lake,ME,seaplane_base,0.033155575891,-68.50029754638672,46.778900146484375
02NH,Iroquois Landing Seaplane Base,coos county,NH,seaplane_base,0.16307867801200002,-71.21910095214844,44.657100677490234
03M,Lakeside Marina Seaplane Base,manchester,ME,seaplane_base,0.029400725446700002,-69.8895034790039,44.320899963378906
08CT,Seavair's Landing Seaplane Base,winsted,CT,seaplane_base,0.038043990918900004,-73.09310150146484,41.895999908447266
08CT,Seavair's Landing Seaplane Base,pleasant valley,CT,seaplane_base,0.10647687499399999,-73.09310150146484,41.895999908447266
08IN,Winona Lake Seaplane Base,pierceton,IN,seaplane_base,0.127064428697,-85.830556,41.223056
0FL2,Alligator Drink Seaplane Base,osteen,FL,seaplane_base,0.0583250877812,-81.16419982910156,28.787799835205078
0FL5,Lake Conway South Seaplane Base,orange county,FL,seaplane_base,0.0531165105794,-81.34970092773438,28.458599090576172
0FL8,Gary Gale Seaplane Base,orange park,FL,seaplane_base,0.0346067985819,-81.68190002441406,30.193899154663086
0MN0,Winner's Landing Seaplane Base,jordon,MN,seaplane_base,0.09059308075860001,-92.98410034179688,44.79690170288086
0MN0,Winner's Landing Seaplane Base,cottage grove,WA,seaplane_base,0.0507311071433,-92.98410034179688,44.79690170288086
0MN0,Winner's Landing Seaplane Base,cottage grove,MN,seaplane_base,0.0507311071433,-92.98410034179688,44.79690170288086
0W7,Floathaven Seaplane Base,alger,WA,seaplane_base,0.10849600782299999,-122.33599853515625,48.72819900512695
12I,Brookville Reservoir Seaplane Base,brookville,IN,seaplane_base,0.0881186560762,-85.0,39.51029968261719
12MN,Eastman Seaplane Base,nisswa,MN,seaplane_base,0.0407219238433,-94.28109741210938,46.480499267578125
16NJ,Hummel Seaplane Base,seaside park,NJ,seaplane_base,0.0602375884495,-74.13569641113281,39.93730163574219
1C4,Raintree Seaplane Base,elkton,MD,seaplane_base,0.0402912152721,-75.8478012084961,39.56919860839844
1C4,Raintree Seaplane Base,elkton,OH,seaplane_base,0.0402912152721,-75.8478012084961,39.56919860839844
1FL0,Garner Landing Seaplane Base,auburndale,FL,seaplane_base,0.00488023307053,-81.80590057373047,28.103599548339844
1FL5,West Bay Creek Seaplane Base,willow beach,AZ,seaplane_base,0.0483599017187,-85.8644027709961,30.302099227905273
1IN7,Lake Wawasee Seaplane Base,syracuse,IN,seaplane_base,0.052334367908500004,-85.706100463867,41.4035987854
1Z9,Ellamar Seaplane Base,prince william sound,AK,seaplane_base,0.541342599685,-146.704038,60.893818
21JY,Soaring Sun Seaplane Base,ship bottom,NJ,seaplane_base,0.06343027350569999,-74.15280151367188,39.70000076293945
21JY,Soaring Sun Seaplane Base,surf city,NJ,seaplane_base,0.039892288104199994,-74.15280151367188,39.70000076293945
21JY,Soaring Sun Seaplane Base,surf city,NC,seaplane_base,0.039892288104199994,-74.15280151367188,39.70000076293945
21JY,Soaring Sun Seaplane Base,surf city,MI,seaplane_base,0.039892288104199994,-74.15280151367188,39.70000076293945
22CA,Commodore Center Seaplane Base,mill valley,CA,seaplane_base,0.04052861548930001,-122.51399993896484,37.87990188598633
24FA,Lake Weir Seaplane Base,ocklawaha,FL,seaplane_base,0.0229270056573,-81.95059967041016,29.034400939941406
24FA,Lake Weir Seaplane Base,lake weir,FL,seaplane_base,0.0230079879109,-81.95059967041016,29.034400939941406
29ME,Teconnet Seaplane Base,east vassalboro,ME,seaplane_base,0.07554415737589999,-69.530333,44.448
29ME,Teconnet Seaplane Base,south china,ME,seaplane_base,0.0664043507458,-69.530333,44.448
29ME,Teconnet Seaplane Base,palermo,ME,seaplane_base,0.06884266709680001,-69.530333,44.448
2M5,Stockton Lake Seaplane Base,fair play,MO,seaplane_base,0.186313132167,-93.75849914550781,37.650001525878906
2MA7,Falls Pond Seaplane Base,attleboro,MA,seaplane_base,0.0430817686051,-71.32640075683594,41.95840072631836
2MA7,Falls Pond Seaplane Base,north attleboro,MA,seaplane_base,0.016929538990700002,-71.32640075683594,41.95840072631836
2MA7,Falls Pond Seaplane Base,south attleboro,MA,seaplane_base,0.061351922772,-71.32640075683594,41.95840072631836
2N7,Little Ferry Seaplane Base,little ferry,NJ,seaplane_base,0.0095971701574,-74.03289794921875,40.850101470947266
2NK0,Northwest Waterbird Seaplane Base,chestertown,NY,seaplane_base,0.18554702182,-73.6250991821289,43.59339904785156
2NK0,Northwest Waterbird Seaplane Base,lake george,NY,seaplane_base,0.0827071302203,-73.6250991821289,43.59339904785156
2NK0,Northwest Waterbird Seaplane Base,brant lake,NY,seaplane_base,0.149637562814,-73.6250991821289,43.59339904785156
2NK0,Northwest Waterbird Seaplane Base,warrensburg,NY,seaplane_base,0.179427161252,-73.6250991821289,43.59339904785156
2OG3,Wiley's Seaplane Base,milwaukie,OR,seaplane_base,0.017939965376400004,-122.6500015258789,45.430999755859375
2OG3,Wiley's Seaplane Base,lake oswego,OR,seaplane_base,0.023085793742,-122.6500015258789,45.430999755859375
2SC3,Melrose Landing Seaplane Base,daufuskie island,SC,seaplane_base,0.024912898369,-80.86810302734375,32.139198303222656
2SC3,Melrose Landing Seaplane Base,savannah/tybee island,GA,seaplane_base,0.147830327962,-80.86810302734375,32.139198303222656
2SC4,Salty Fare Landng Seaplane Base,hilton head,NC,seaplane_base,0.0721094113517,-80.75420379638672,32.2338981628418
2SC4,Salty Fare Landng Seaplane Base,hilton head,SC,seaplane_base,0.024834181831099995,-80.75420379638672,32.2338981628418
2SC4,Salty Fare Landng Seaplane Base,hilton head island,SC,seaplane_base,0.0721094113517,-80.75420379638672,32.2338981628418
2WA2,Quartermaster Harbor Seaplane Base,maury island,WA,seaplane_base,0.0123726228268,-122.44499969482422,47.37950134277344
30LA,Venice Base Heliport & Seaplane Base,venice,LA,seaplane_base,0.006151221217100001,-89.35579681396484,29.271099090576172
34FA,Gezik Seaplane Base,merritt island,FL,seaplane_base,0.015289601656500002,-80.66889953613281,28.25189971923828
34MN,Peil/Juliar Seaplane Base,mound,MN,seaplane_base,0.0287076578336,-93.64939880371094,44.959999084472656
36VT,North Hero Passage Seaplane Base,north hero,VT,seaplane_base,0.0373857755614,-73.285556,44.854722
3FA8,Searey Central SPB,howey in the hills,FL,seaplane_base,0.0562429315658,-81.74611,28.766111
3FA8,Searey Central SPB,tavares,FL,seaplane_base,0.032076575550299996,-81.74611,28.766111
3FD9,Prairie Lake Private Res Sp Mooring Facility,fern park,FL,seaplane_base,0.00785590172223,-81.35340118410001,28.6567001343
3FD9,Prairie Lake Private Res Sp Mooring Facility,casselberry,FL,seaplane_base,0.0297094999884,-81.35340118410001,28.6567001343
3MI9,Ness Landing Seaplane Base,gladstone,MI,seaplane_base,0.0725936867209,-86.97029876708984,45.903900146484375
3TN2,Merian Seaplane Base,college grove,TN,seaplane_base,0.0701674190624,-84.61100006103516,35.82170104980469
44NJ,Highlands Seaplane Base,sea bright,NJ,seaplane_base,0.0589271487415,-74.03289794921875,40.366798400878906
44NJ,Highlands Seaplane Base,rumson,NJ,seaplane_base,0.0342763664542,-74.03289794921875,40.366798400878906
44NJ,Highlands Seaplane Base,red bank,NJ,seaplane_base,0.037098875747,-74.03289794921875,40.366798400878906
44NJ,Highlands Seaplane Base,red bank,SC,seaplane_base,0.037098875747,-74.03289794921875,40.366798400878906
4LA0,Port Sulphur Seaplane Base,port sulphur,LA,seaplane_base,0.019871303276,-89.70279693603516,29.46269989013672
4NJ2,Passaic River Seaplane Base,rutherford,NJ,seaplane_base,0.0138780259595,-74.12039947509766,40.82929992675781
4NJ2,Passaic River Seaplane Base,east rutherford,NJ,seaplane_base,0.023779869969700003,-74.12039947509766,40.82929992675781
4NJ2,Passaic River Seaplane Base,sratford,CT,seaplane_base,0.0198382108164,-74.12039947509766,40.82929992675781
4OH6,Wingfoot Lake Airship Operations Balloonport,hartville,OH,balloonport,0.0530318926598,-81.35790252685547,41.009498596191406
4OH6,Wingfoot Lake Airship Operations Balloonport,mogadore,OH,balloonport,0.0547984805236,-81.35790252685547,41.009498596191406
4P5,Franks Seaplane Base,lac du flambeau,WI,seaplane_base,0.138367744524,-90.00019836425781,45.88330078125
51MI,Cass Lake-Cove Island Seaplane Base,orchard lake,MI,seaplane_base,0.0331838900192,-83.35600280761719,42.6161003112793
52B,Greenville Seaplane Base,greenville,SC,seaplane_base,0.0073916297028100006,-69.5978012084961,45.46120071411133
52B,Greenville Seaplane Base,greenville,ME,seaplane_base,0.0073916297028100006,-69.5978012084961,45.46120071411133
54NJ,Highlands Seaplane Base,atlantic highlands,NJ,seaplane_base,0.03582953735319999,-73.99960327148438,40.41680145263672
55NJ,Garden State Balloonport,whitehouse station,NJ,balloonport,0.018490431864,-74.76629638671875,40.633399963378906
58A,Tolsona Lake Seaplane Base,glennallen,AK,seaplane_base,0.22023114349599998,-146.041000366,62.11339950559999
58NJ,Harrah's Landing Seaplane Base,brigantine,NJ,seaplane_base,0.0659048690883,-74.4260025024414,39.386199951171875
58NJ,Harrah's Landing Seaplane Base,brigantine,PA,seaplane_base,0.0659048690883,-74.4260025024414,39.386199951171875
5CA9,Konocti  - Clear Lake Seaplane Base,glenhaven,CA,seaplane_base,0.050860615070799996,-122.718002,38.977699
5KE,Ketchikan Harbor Seaplane Base,ketchikan,AK,seaplane_base,0.031079722784599997,-131.677002,55.349899
5LA6,E-8 Tank Battery Seaplane Base,gulf of mexico,LA,seaplane_base,3.9973564660000003,-89.38780212402344,28.950199127197266
5MA8,South Pond Seaplane Base,granby,CT,seaplane_base,0.0686663154321,-72.76260375976562,42.00870132446289
5Z1,Juneau Harbor Seaplane Base,juneau,AK,seaplane_base,0.012119052300499998,-134.4080047607422,58.29890060424805
62FD,Doctors Lake Seaplane Base,fleming island,FL,seaplane_base,0.0407450297665,-81.74420166015625,30.12529945373535
68A,Wrangell Seaplane Base,wrangell,AK,seaplane_base,0.0056289902189,-132.3800048828125,56.46630096435547
68JY,Hancock Pond Seaplane Base,denmark,ME,seaplane_base,0.060806929645699996,-70.75669860839844,43.93170166015625
6MA0,Lake Gardner Seaplane Base,amesbury,MA,seaplane_base,0.0137698835032,-70.94339752197266,42.86149978637695
