municipality,state,name,type,airport_lon,airport_lat
bensalem,PA,Total Rf Heliport,heliport,-74.93360137939453,40.07080078125
leoti,KS,Aero B Ranch Airport,small_airport,-101.473911,38.704022
anchor point,AK,Lowell Field,small_airport,-151.695999146,59.94919968
harvest,AL,Epps Airpark,small_airport,-86.77030181884766,34.86479949951172
alex,OK,Fulton Airport,small_airport,-97.8180194,34.9428028
cordes,AZ,Cordes Airport,small_airport,-112.16500091552734,34.305599212646484
barstow,CA,Goldstone /Gts/ Airport,small_airport,-116.888000488,35.350498199499995
biggs,CA,Williams Ag Airport,small_airport,-121.763427,39.427188
pine valley,CA,Kitchen Creek Helibase Heliport,heliport,-116.4597417,32.7273736
bushnell,FL,Grass Patch Airport,small_airport,-82.21900177001953,28.64550018310547
riverview,FL,Ringhaver Heliport,heliport,-82.34539794921875,28.846599578857422
okeechobee,FL,River Oak Airport,small_airport,-80.96920013427734,27.230899810791016
lithonia,GA,Lt World Airport,small_airport,-84.06829833984375,33.76750183105469
hiram,GA,Caffrey Heliport,heliport,-84.73390197753906,33.88420104980469
kailua/kona,HI,Kaupulehu Heliport,heliport,-155.980233,19.832715
clark fork,ID,Delta Shores Airport,small_airport,-116.21399688720703,48.145301818847656
mcdonald,KS,Goltl Airport,small_airport,-101.395994,39.724028
chesterton,IN,Bailey Generation Station Heliport,heliport,-87.122802734375,41.644500732421875
polo,IL,Hammer Airport,small_airport,-89.5604019165039,41.97840118408203
hobart,IN,St Mary Medical Center Heliport,heliport,-87.2605972290039,41.51139831542969
kings,IL,Hayenga's Cant Find Farms Airport,small_airport,-89.1229019165039,40.02560043334961
gardner,KS,Hayden Farm Airport,small_airport,-94.93049621582031,38.72779846191406
stanford,KY,Robbins Roost Airport,small_airport,-84.61969757080078,37.409400939941406
gonzales,LA,Shell Chemical East Site Heliport,heliport,-90.980833,30.191944
chatham,IL,Ac & R Components Heliport,heliport,-89.70559692382812,39.66529846191406
esterwood,LA,Lejeune Airport,small_airport,-92.42939758300781,30.13629913330078
federalsburg,MD,Slater Field,small_airport,-75.75379943847656,38.75709915161133
ludington,MI,Dow Chemical Heliport,heliport,-86.41670227050781,43.94940185546875
battle lake,MN,Battle Lake Municipal Airport,small_airport,-95.70030212402344,46.29999923706055
alba,MO,Cooper Flying Service Airport,small_airport,-94.412399291992,37.202800750732
bridgeton,NJ,Bucks Airport,small_airport,-75.1852035522461,39.473201751708984
louisburg,NC,North Raleigh Airport,small_airport,-78.37139892578125,36.085201263427734
new brunswick,NJ,Colgate-Piscataway Heliport,heliport,-74.47460174560547,40.52090072631836
beekmantown,NY,Cliche Cove Seaplane Base,seaplane_base,-73.3698057,44.8118612
west bloomfield,NY,Weiss Airfield,small_airport,-77.49970245361328,42.90010070800781
wauseon,OH,Exit 3 Airport,small_airport,-84.14219665527344,41.59090042114258
dayton,OH,Miami Valley Hospital Heliport,heliport,-84.1874008178711,39.74530029296875
salem,OR,Steel Systems Heliport,heliport,-123.12999725341797,44.932899475097656
coatesville,PA,R J D Heliport,heliport,-75.74690246582031,39.94889831542969
mercer,PA,Ferrell Field,small_airport,-80.211111,41.2995
mc kenzie bridge,OR,Mc Kenzie Bridge State Airport,small_airport,-122.088996887,44.183200836199994
sumter,SC,Flying O Airport,small_airport,-80.26719665527344,34.0093994140625
fort worth,TX,Sw Region Faa Heliport,heliport,-97.30580139160156,32.826900482177734
fort worth,TX,Tcjc-Northeast Campus Heliport,heliport,-97.18949890136719,32.847599029541016
manchester,TN,Ragsdale Road Airport,small_airport,-85.95359802246094,35.515899658203125
everman,TX,Alpine Range Airport,small_airport,-97.24199676513672,32.607601165771484
alton,VA,Vaughan Airport,small_airport,-78.9991684,36.57600021
hillsville,VA,Groundhog Mountain Airport,small_airport,-80.49949645996094,36.663299560546875
colfax,WA,Lower Granite State Airport,small_airport,-117.44300079346,46.673500061035
longbranch,WA,Howell Airport,small_airport,-122.77200317382812,47.17839813232422
waupaca,WI,Northern Lite Airport,small_airport,-89.05010223388672,44.304298400878906
asotin,WA,Hawks Run Airport,small_airport,-117.2490005493164,46.25
beverly,WV,Lazy J. Aerodrome,small_airport,-79.86609649658203,38.82889938354492
casper,WY,Mountain View Regional Hospital Heliport,heliport,-106.224443,42.840361
o'donnell,TX,L P Askew Farms Airport,small_airport,-101.93399810791016,33.03340148925781
purkeypile,AK,Purkeypile Airport,small_airport,-152.27000427246094,62.943599700927734
