municipality,state,census_year,zipcode,adults,children,senior_citizens
aaronsburg,PA,2000,33640,620,314,144
aaronsburg,PA,2010,33640,712,342,148
abbeville,AL,2000,72620,4105,1561,1123
abbeville,AL,2010,72620,3919,1393,1269
abbeville,GA,2000,62002,2762,693,369
abbeville,GA,2010,62002,3534,719,496
abbeville,LA,2000,141020,14278,7136,2917
abbeville,LA,2010,141020,15029,6854,2947
abbeville,MS,2000,77202,1424,616,203
abbeville,MS,2010,77202,1473,608,272
abbeville,SC,2000,59240,7957,3558,1735
abbeville,SC,2010,59240,7771,3034,1874
abbot,ME,2000,8812,447,130,101
abbot,ME,2010,8812,523,134,150
abbotsford,WI,2000,108810,1509,677,444
abbotsford,WI,2010,108810,1666,801,433
abbott,TX,2000,153242,591,249,158
abbott,TX,2010,153242,637,258,128
abbottstown,PA,2000,34602,2210,957,366
abbottstown,PA,2010,34602,2542,935,518
abbyville,KS,2000,135020,208,92,57
abbyville,KS,2010,135020,169,48,61
abell,MD,2000,41212,253,85,84
abell,MD,2010,41212,246,77,98
abercrombie,ND,2000,116002,136,79,17
abercrombie,ND,2010,116002,28,20,7
aberdeen,ID,2000,166420,1735,1284,341
aberdeen,ID,2010,166420,1864,1203,333
aberdeen,MD,2000,42002,11761,4991,2320
aberdeen,MD,2010,42002,13492,5197,2469
aberdeen,MS,2000,79460,7501,3800,1460
aberdeen,MS,2010,79460,7034,2968,1561
aberdeen,NC,2000,56630,5824,2426,1175
aberdeen,NC,2010,56630,7121,2869,1478
aberdeen,OH,2000,90202,1572,687,260
aberdeen,OH,2010,90202,1496,527,328
aberdeen,SD,2000,114802,17668,6585,3931
aberdeen,SD,2010,114802,18510,6814,3784
aberdeen,WA,2000,197040,12868,5683,2725
aberdeen,WA,2010,197040,15458,5200,2729
aberdeen proving ground,MD,2000,42010,1860,1249,5
aberdeen proving ground,MD,2010,42010,1600,509,3
abernathy,TX,2000,158622,1966,1059,471
abernathy,TX,2010,158622,1837,1019,506
abie,NE,2000,136002,83,53,29
abie,NE,2010,136002,49,11,14
abilene,KS,2000,134820,5567,2502,1568
abilene,KS,2010,134820,5723,2487,1595
abilene,TX,2000,796034,73599,29810,12812
abilene,TX,2010,796034,79105,28733,13789
abingdon,IL,2000,122820,2446,1052,575
abingdon,IL,2010,122820,2312,920,573
abingdon,MD,2000,42018,15103,6811,1488
abingdon,MD,2010,42018,19653,7736,2142
abingdon,VA,2000,96842,15154,4729,3472
abingdon,VA,2010,96842,16846,5037,4299
abington,MA,2000,4702,9088,3738,1529
abington,MA,2010,4702,10427,3688,1668
abington,PA,2000,38002,10111,4441,2420
abington,PA,2010,38002,10569,4063,1940
abiquiu,NM,2000,175020,727,298,109
abiquiu,NM,2010,175020,708,214,156
abita springs,LA,2000,140840,3190,1484,441
abita springs,LA,2010,140840,4599,1866,814
abrams,WI,2000,108202,1443,607,172
abrams,WI,2010,108202,1818,647,258
absarokee,MT,2000,118002,892,407,223
absarokee,MT,2010,118002,956,364,284
absecon,NJ,2000,16402,22819,8894,2936
absecon,NJ,2010,16402,6344,2145,1303
acampo,CA,2000,190440,3734,1659,842
acampo,CA,2010,190440,4374,1760,1001
accident,MD,2000,43040,1227,552,228
accident,MD,2010,43040,1242,527,261
accokeek,MD,2000,41214,4514,1976,536
accokeek,MD,2010,41214,6538,2417,769
accomac,VA,2000,46602,1201,466,279
accomac,VA,2010,46602,1123,448,226
accord,NY,2000,24808,2321,1054,350
accord,NY,2010,24808,2214,719,410
accoville,WV,2000,51212,1020,347,173
accoville,WV,2010,51212,666,205,86
ace,TX,2000,154652,92,37,22
ace,TX,2010,154652,42,13,13
achille,OK,2000,149440,397,239,73
achille,OK,2010,149440,369,153,80
achilles,VA,2000,46002,19,3,6
ackerly,TX,2000,159426,346,176,89
ackerly,TX,2010,159426,321,197,67
ackerman,MS,2000,79470,3190,1433,681
ackerman,MS,2010,79470,2290,936,608
ackley,IA,2000,101202,1533,723,508
ackley,IA,2010,101202,1313,537,502
ackworth,IA,2000,100002,390,170,49
ackworth,IA,2010,100002,412,180,84
acme,LA,2000,142632,26,6,15
acme,LA,2010,142632,19,4,12
acme,PA,2000,31220,1628,614,268
acme,PA,2010,31220,2506,734,456
acme,WA,2000,196440,399,198,46
acme,WA,2010,196440,431,112,78
acosta,PA,2000,31040,145,63,52
acosta,PA,2010,31040,182,67,39
acra,NY,2000,24810,279,91,73
acra,NY,2010,24810,478,173,122
acton,CA,2000,187020,4946,2256,564
acton,CA,2010,187020,5382,1722,833
acton,MA,2000,3440,12289,5862,1490
acton,MA,2010,3440,12898,6107,2056
acton,ME,2000,8002,1268,547,317
acton,ME,2010,8002,1537,507,344
acton,MT,2000,118004,38,21,4
acton,MT,2010,118004,100,45,19
acushnet,MA,2000,5486,6235,2358,1372
acushnet,MA,2010,5486,6584,2090,1402
acworth,GA,2000,120406,46683,21780,3467
acworth,GA,2010,120406,58643,26409,6272
acworth,NH,2000,7202,235,107,39
acworth,NH,2010,7202,310,88,76
ada,MI,2000,98602,6310,3406,666
ada,MI,2010,98602,11107,5973,1510
ada,MN,2000,113020,1246,600,465
ada,MN,2010,113020,1286,561,377
ada,OH,2000,91620,5908,1390,641
ada,OH,2010,91620,6269,1455,634
ada,OK,2000,149640,17254,6920,3632
ada,OK,2010,149640,19265,7099,3830
adah,PA,2000,30820,691,281,184
adah,PA,2010,30820,589,168,120
adair,IA,2000,100004,737,299,248
adair,IA,2010,100004,751,309,198
adair,IL,2000,122822,260,91,64
adair,IL,2010,122822,223,69,75
adair,OK,2000,148660,1540,694,351
adair,OK,2010,148660,1720,718,389
adairsville,GA,2000,60206,6838,3027,1003
adairsville,GA,2010,60206,9124,4074,1465
adairville,KY,2000,84404,1426,578,270
adairville,KY,2010,84404,1429,537,380
adak,AK,2000,199092,253,59,4
adak,AK,2010,199092,273,35,18
adamant,VT,2000,11280,27,15,5
adamant,VT,2010,11280,101,23,37
adams,KY,2000,82402,111,30,12
adams,KY,2010,82402,162,44,28
adams,MA,2000,2440,5432,2115,1652
adams,MA,2010,2440,5259,1718,1326
adams,MN,2000,111818,760,419,281
adams,MN,2010,111818,724,349,260
adams,ND,2000,116420,232,115,88
adams,ND,2010,116420,201,53,54
adams,NE,2000,136602,706,345,180
adams,NE,2010,136602,805,390,198
adams,NY,2000,27210,2749,1278,518
adams,NY,2010,27210,2862,1288,544
adams,OK,2000,147802,103,58,16
adams,OK,2010,147802,91,47,16
adams,OR,2000,195620,459,228,92
adams,OR,2010,195620,497,187,115
adams,TN,2000,74020,1922,846,309
adams,TN,2010,74020,2870,1367,393
adams,WI,2000,107820,1896,886,576
adams,WI,2010,107820,1963,760,681
adams center,NY,2000,27212,1664,790,250
adams center,NY,2010,27212,1757,657,275
adams run,SC,2000,58852,1114,482,198
adams run,SC,2010,58852,1066,420,212
adamsburg,PA,2000,31222,176,68,42
adamsburg,PA,2010,31222,333,99,103
adamstown,MD,2000,43420,1718,779,381
adamstown,MD,2010,43420,2612,1215,475
adamstown,PA,2000,39002,598,224,132
adamstown,PA,2010,39002,666,243,114
adamsville,AL,2000,70010,5538,2104,1217
adamsville,AL,2010,70010,4867,1860,1070
adamsville,OH,2000,87604,636,360,90
adamsville,OH,2010,87604,659,292,110
adamsville,PA,2000,32220,160,56,43
adamsville,PA,2010,32220,199,57,46
adamsville,TN,2000,76620,3226,1267,859
adamsville,TN,2010,76620,3533,1444,1052
addieville,IL,2000,124428,789,318,172
addieville,IL,2010,124428,805,253,157
addington,OK,2000,147040,113,53,29
addington,OK,2010,147040,82,35,28
addis,LA,2000,141420,1833,932,195
addis,LA,2010,141420,2295,999,279
addison,AL,2000,71080,1374,520,214
addison,AL,2010,71080,1449,547,386
addison,IL,2000,120202,24831,9978,3080
addison,IL,2010,120202,24698,10212,3832
addison,ME,2000,9212,755,284,154
addison,ME,2010,9212,766,262,226
addison,MI,2000,98440,1414,642,273
addison,MI,2010,98440,1406,529,322
addison,NY,2000,29602,3292,1522,552
addison,NY,2010,29602,3332,1464,611
addison,PA,2000,30822,410,115,141
addison,PA,2010,30822,390,134,125
addison,TX,2000,150002,6892,912,434
addison,TX,2010,150002,9827,1781,741
addy,WA,2000,198202,752,421,110
addy,WA,2010,198202,869,352,212
addyston,OH,2000,90002,559,311,92
addyston,OH,2010,90002,379,167,49
adel,GA,2000,63240,5730,2767,1148
adel,GA,2010,63240,6312,2931,1289
adel,IA,2000,100006,3451,1640,621
adel,IA,2010,100006,4075,1711,702
adel,OR,2000,195240,62,24,25
adel,OR,2010,195240,76,18,15
adelanto,CA,2000,184602,10806,7109,990
adelanto,CA,2010,184602,19133,12045,1418
adell,WI,2000,106002,1201,529,203
adell,WI,2010,106002,1225,421,228
adelphi,OH,2000,86202,206,71,44
adelphi,OH,2010,86202,220,102,56
adena,OH,2000,87802,1357,445,426
adena,OH,2010,87802,1317,454,378
adger,AL,2000,70012,1987,773,322
adger,AL,2010,70012,1951,737,405
adin,CA,2000,192012,350,137,102
adin,CA,2010,192012,325,119,101
adirondack,NY,2000,25616,175,33,73
adirondack,NY,2010,25616,162,36,103
adkins,TX,2000,156202,3865,1755,549
adkins,TX,2010,156202,4968,2023,842
admire,KS,2000,133660,188,87,22
admire,KS,2010,133660,152,65,40
adolphus,KY,2000,84240,1388,628,207
adolphus,KY,2010,84240,1639,618,308
adona,AR,2000,144002,297,131,72
adona,AR,2010,144002,330,136,93
adrian,GA,2000,62004,1391,601,361
adrian,GA,2010,62004,1729,698,424
adrian,MI,2000,98442,25676,10088,4546
adrian,MI,2010,98442,26347,9070,4888
adrian,MN,2000,112220,1056,582,289
adrian,MN,2010,112220,1065,478,252
adrian,MO,2000,129440,2029,1008,506
adrian,MO,2010,129440,2248,977,547
adrian,OR,2000,195802,390,189,95
adrian,OR,2010,195802,380,152,148
adrian,PA,2000,32420,706,299,163
adrian,PA,2010,32420,616,221,151
adrian,TX,2000,158002,174,67,41
adrian,TX,2010,158002,146,50,46
adrian,WV,2000,52420,75,33,16
advance,IN,2000,92204,25,13,2
advance,MO,2000,127460,1933,722,580
advance,MO,2010,127460,1995,758,582
advance,NC,2000,54012,6592,2542,1418
advance,NC,2010,54012,8241,3144,2374
advent,WV,2000,50462,64,19,8
afton,IA,2000,101660,1047,435,285
afton,IA,2010,101660,971,439,277
afton,MI,2000,99410,547,257,112
afton,MI,2010,99410,571,250,110
afton,MN,2000,110002,1736,707,203
afton,MN,2010,110002,1888,623,370
afton,NY,2000,27460,1737,790,415
afton,NY,2010,27460,1702,616,440
afton,OK,2000,148662,3741,1263,1181
afton,OK,2010,148662,4136,1360,1645
afton,TN,2000,75232,2799,948,506
afton,TN,2010,75232,2993,1092,740
afton,TX,2000,158440,106,45,41
afton,TX,2010,158440,109,39,43
afton,VA,2000,45840,2205,758,370
afton,VA,2010,45840,2606,855,675
afton,WY,2000,166220,2153,1419,379
afton,WY,2010,166220,2358,1425,453
agar,SD,2000,115040,91,29,43
agar,SD,2010,115040,88,18,40
agate,CO,2000,160202,209,113,38
agate,CO,2010,160202,244,79,64
agate,ND,2000,116620,157,67,26
agawam,MA,2000,2002,9889,3228,2770
agawam,MA,2010,2002,10084,3098,2664
agency,IA,2000,105060,570,229,188
agency,IA,2010,105060,591,202,190
agency,MO,2000,128802,893,405,119
agency,MO,2010,128802,877,359,161
agenda,KS,2000,133860,80,23,28
agenda,KS,2010,133860,94,34,49
ages brookside,KY,2000,81602,146,73,30
ages brookside,KY,2010,81602,333,120,73
agness,OR,2000,194812,69,24,30
agness,OR,2010,194812,62,13,26
agoura hills,CA,2000,182602,15966,7680,1507
agoura hills,CA,2010,182602,16466,6184,2464
agra,KS,2000,135242,266,133,66
agra,KS,2010,135242,228,93,68
agra,OK,2000,149648,620,293,130
agra,OK,2010,149648,719,344,182
agua dulce,TX,2000,156660,570,309,113
agua dulce,TX,2010,156660,488,271,107
aguanga,CA,2000,185072,1381,666,361
aguanga,CA,2010,185072,2267,745,745
aguila,AZ,2000,170640,525,365,169
aguila,AZ,2010,170640,678,294,210
aguilar,CO,2000,162040,577,218,182
aguilar,CO,2010,162040,535,170,224
ahmeek,MI,2000,99802,223,74,81
ahmeek,MI,2010,99802,214,67,58
ahoskie,NC,2000,55820,6463,2860,1558
ahoskie,NC,2010,55820,7104,2872,1778
ahsahka,ID,2000,167040,72,46,12
ahsahka,ID,2010,167040,117,45,32
ahwahnee,CA,2000,187202,1114,495,321
ahwahnee,CA,2010,187202,1103,347,425
aiea,HI,2000,193402,26941,8627,5382
aiea,HI,2010,193402,25620,7602,6018
aiken,SC,2000,178818,37096,15489,7548
aiken,SC,2010,178818,42558,14635,10922
ailey,GA,2000,60820,1120,487,176
ailey,GA,2010,60820,1474,456,220
aimwell,LA,2000,142802,74,24,18
aimwell,LA,2010,142802,63,39,15
ainsworth,IA,2000,104402,715,340,129
ainsworth,IA,2010,104402,766,338,150
ainsworth,NE,2000,138420,1463,700,514
ainsworth,NE,2010,138420,1341,527,488
airville,PA,2000,34604,1691,791,216
airville,PA,2010,34604,1974,801,274
airway heights,WA,2000,198002,824,405,92
airway heights,WA,2010,198002,4748,1062,313
aitkin,MN,2000,112862,4610,1737,1695
aitkin,MN,2010,112862,4821,1590,2181
ajo,AZ,2000,170642,2457,1215,1244
ajo,AZ,2010,170642,2311,956,1068
akaska,SD,2000,114840,57,18,16
akaska,SD,2010,114840,31,20,24
akeley,MN,2000,112866,938,374,265
akeley,MN,2010,112866,1065,386,362
akiachak,AK,2000,199102,296,260,27
akiachak,AK,2010,199102,348,239,38
akiak,AK,2000,199104,154,134,18
akiak,AK,2010,199104,196,130,20
akron,AL,2000,70882,905,378,196
akron,AL,2010,70882,660,219,164
akron,CO,2000,161440,1456,735,475
akron,CO,2010,161440,1476,561,439
akron,IA,2000,102002,1212,573,420
akron,IA,2010,102002,1326,593,424
akron,IN,2000,93820,1861,905,345
akron,IN,2010,93820,1974,927,410
akron,MI,2000,97402,916,392,199
akron,MI,2010,97402,827,319,201
akron,NY,2000,28002,5518,2266,1379
akron,NY,2010,28002,5776,2018,1481
akron,OH,2000,1595222,174085,70718,35856
akron,OH,2010,1506578,173072,61200,31760
akron,PA,2000,35002,2648,976,793
akron,PA,2010,35002,2588,924,698
akutan,AK,2000,199106,681,22,10
akutan,AK,2010,199106,976,17,33
alabaster,AL,2000,70014,12974,5557,1389
alabaster,AL,2010,70014,16482,7291,2165
alachua,FL,2000,130462,7633,3267,1282
alachua,FL,2010,130462,9587,3490,1892
