state,date,precipitation,temp_avg,temp_min,temp_max,pdsi
AK,1925-01-01,1.64,-10.9,,-18.3,-3.5
AK,1925-02-01,1.48,-3.5,,-12.2,5.3
AK,1925-03-01,2.51,10.8,,2.1,19.6
AK,1925-04-01,1.9,23.4,,14.6,32.3
AK,1925-05-01,2.0,38.5,,29.1,48.0
AK,1925-06-01,2.54,48.6,,38.5,58.6
AK,1925-07-01,3.31,51.8,,42.0,61.7
AK,1925-08-01,3.55,50.9,,41.3,60.6
AK,1925-09-01,7.54,42.8,,36.1,49.5
AK,1925-10-01,5.9,33.0,,27.5,38.5
AK,1925-11-01,4.87,15.1,,9.6,20.7
AK,1925-12-01,3.74,2.9,,-4.1,9.9
AK,1926-01-01,4.41,15.0,,9.0,21.0
AK,1926-02-01,1.83,3.1,,-4.6,10.9
AK,1926-03-01,3.22,20.6,,12.5,28.6
AK,1926-04-01,2.64,28.4,,19.5,37.4
AK,1926-05-01,2.27,38.8,,29.0,48.6
AK,1926-06-01,1.5,52.4,,41.5,63.3
AK,1926-07-01,3.11,53.5,,44.1,63.0
AK,1926-08-01,3.12,51.7,,42.6,60.8
AK,1926-09-01,4.08,44.3,,37.0,51.7
AK,1926-10-01,5.16,30.3,,23.4,37.2
AK,1926-11-01,2.29,18.8,,13.0,24.6
AK,1926-12-01,3.96,1.2,,-5.5,8.0
AK,1927-01-01,3.17,5.5,,-2.2,13.1
AK,1927-02-01,2.31,7.0,,-1.0,15.1
AK,1927-03-01,2.77,3.9,,-5.2,13.0
AK,1927-04-01,1.88,14.8,,5.0,24.6
AK,1927-05-01,1.63,36.6,,27.6,45.6
AK,1927-06-01,2.25,49.8,,39.8,59.7
AK,1927-07-01,2.63,54.1,,44.5,63.8
AK,1927-08-01,4.37,49.6,,41.1,58.1
AK,1927-09-01,4.47,37.0,,29.3,44.6
AK,1927-10-01,3.93,22.2,,15.0,29.4
AK,1927-11-01,1.53,2.4,,-4.7,9.5
AK,1927-12-01,3.35,3.9,,-3.1,11.0
AK,1928-01-01,3.63,8.0,,0.6,15.3
AK,1928-02-01,3.9,13.1,,5.4,20.9
AK,1928-03-01,2.52,4.2,,-5.2,13.6
AK,1928-04-01,1.51,23.5,,13.8,33.2
AK,1928-05-01,2.11,37.2,,27.6,46.8
AK,1928-06-01,2.53,49.0,,39.2,58.9
AK,1928-07-01,4.35,51.5,,43.0,60.0
AK,1928-08-01,4.89,47.9,,40.0,55.8
AK,1928-09-01,6.02,38.2,,31.3,45.2
AK,1928-10-01,3.4,24.8,,17.4,32.2
AK,1928-11-01,4.62,16.4,,8.7,24.1
AK,1928-12-01,4.06,9.2,,1.4,17.0
AK,1929-01-01,3.9,12.1,,5.5,18.6
AK,1929-02-01,3.93,12.4,,5.8,19.1
AK,1929-03-01,3.09,3.9,,-4.9,12.8
