elevation,num_sightings,pdsi,precipitation
"(-500, 0]",970,70.11441677588472,3.333997378768022
"(0, 500]",40827,68.83196029776535,3.0606355459056562
"(500, 1000]",3037,68.94299297230268,2.1290285241835467
"(1000, 1500]",1800,70.52319236016345,1.6256207366985
"(1500, 2000]",1491,66.5404643449419,1.4980597014925394
"(2000, 2500]",429,69.70000000000003,1.402228116710875
"(2500, 3000]",108,68.06923076923074,1.5708791208791204
"(3000, 3500]",15,82.97333333333333,0.6999999999999998
"(3500, 4000]",2,78.55,1.085
"(4000, 4500]",2,86.4,0.07
