,state,value
0,AK,1111111111111111111111111111111111111111111111111111111111101111111111111110111011111111111111111111
1,AL,1111111111111011111111011111101111110011111101011111111111101111111111110110111111111111101111011111
2,AR,1111111111111110011111001111101101110011111101011111111111001111111111110110110111111111111111111111
3,AZ,1111111111111111111111111111111111111011111101111111111111101111111111110111110111111111111111111111
4,CA,1111111111111111111111111111111111110111111111111111111111101111111111111111111111111111111111111111
5,CO,1111111111111111111111111111111111110011111111011111111111101111111111110111111111111111111111111111
6,CT,1111110111111011111111011111101111110011111111001111111111001111111111111110110111111111101111111111
7,DC,1111110111111011011111001111111101110011111101001111111101001011101111010110111111111110101111011101
8,DE,0111010111111000111101001111101101110011111101001111111110001011101111010110110011111111101110011111
9,FL,1111111111111111111111011111111111111111111111111111111111101111111111110111111111111111111111111111
10,GA,1111110111111011111111001111111111110011111101011111111111101011111111111111111111111111111111111111
11,HI,1111110111111011111111001111101101110011111101001111111111001011111111110110111111111111101111111111
12,IA,1011111111111011111111001111101111110011111111011111111110001011111111110110110111111111101111111111
13,ID,1111110111111011011111001111101111110011111101011111111111001111111111111110110111111111111111011111
14,IL,1111111111111011111111011111101111110111111111111111111111101111111111110111111111111111111111111111
15,IN,1111111111111111111111011111111111110011111101011111111111001011111111111110110111111111111111111111
16,KS,1111111111111011111111001111111111110011111101111111111111001011111111110110110111111111101111011111
17,KY,1111111111111011111111011111101111110011111101011111111111001011111111110110110111111111101111111111
18,LA,1111111111111011111111011111111111111011111101001111111111101111111111110110110011111110111111111111
19,MA,1111111111111111111111001111101111110011111101011111111111101111111111110111111111111111111111111111
20,MD,1111110111111011111111001111101111110011111101011111111111101011111111110110110111111111101111111111
21,ME,1111111111111110111111011111101111110011111101011111111111001111111111111110110111111111101111111111
22,MI,1111111111111111111111011111111111110111111101111111111111101111111111110110110111111111111111111111
23,MN,1111110111111111111111011111101111110011111101011111111111101111111111110110110111111111111111111111
24,MO,1111111111111111111111011111101111110011111101011111111111101011111111110110110111111111111111111111
25,MS,1011010111111111111111001111111101110011111101011111111111001011111111111110110111111111101111111111
26,MT,1111111111111010011111011111111111110011111111011111111111101011111111110110110111111111111111111111
27,NC,1111111111111111111111011111111111110011111111111111111111101011111111110111111111111111111111111111
28,ND,0011111111111010111111001111101101110011111101011110111110001011101111111110110011111110101111111111
29,NE,1111111111111011111111011111101111110011111111011111111110001011111111010110110111111111111111111111
30,NH,1011110111111011011111001111111111110011111101011111111111001111111111110110110111111111111111111111
31,NJ,1111110111111111111111011111101111110011111101011111111111101011111111110111111111111111111111111111
32,NM,1011111111111011111111111111111101110011111101111111111111001011111111110110110111111111111111111111
33,NV,1111110111111011111111011111101111110011111111011111111111101011111111110110110111111111111111111111
34,NY,1111111111111111111111011111111111110011111111011111111111101111111111110110111111111111111111111111
35,OH,1111111111111111111111011111111111110011111111111111111111111011111111110110111111111111111111111111
36,OK,1111111111111110111111011111111111110011111101011111111111101011111111110110111111111111111111111111
37,OR,1111111111111111111111011111101111110011111111011111111111101111111111110111111111111111111111111111
38,PA,1111110111111011111111011111101111110011111101011111111111101111111111110110111111111111111111111111
39,RI,0011110111111010011101001111101111110011111101001111111101001011101111010110110111111111111111111111
40,SC,1111110111111011111111001111111111110011111101011111111111101011111111111111110111111110111111011111
41,SD,1011010111111010011111001111001101110011111101001111111110001011100111010110110111111111111111011111
42,TN,1111111111111111011111011111111101110011111111011111111111101011111111110110111111111111111111111111
43,TX,1111111111111111111111011111111111111011111101111111111111101111111111111111111111111111111111111111
44,UT,1111110111111011111111011111101101111011111101011111111111001011101111110110111111111111111111111111
45,VA,1111111111111111111111011111101111110011111111011111111111101111111111110110111111111111111111111111
46,VT,0011110111111011111111001111101111110011111111011111111100001011111111110110110111111111101111011111
47,WA,1111111111111111111111011111111111110111111111011111111111101011111111111111111111111111111111111111
48,WI,1111111111111011111111011111111111110011111101011111111111101111111111110110110111111111101111111111
49,WV,1111110111111111011111001111101111110011111101011111111101101011101111110110110011111111111111111111
50,WY,1111110110111010111101001111001101110011111101001111111111001011111111010110110111111111111111011101
